Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Somniosidae	Somniosus	Somniosus microcephalus	Extant	756	No	NA	D	Ebert et al. (2021a)	MacNeil et al. (2012)	NA
Squaliformes	Somniosidae	Somniosus	Somniosus pacificus	Extant	700	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias goordi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias savoiei	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias weltoni	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Squaliolus	Squaliolus aliae	Extant	24	Yes	Light	D	Seigel (1978)	Seigel (1978)	Claes et al. (2014)
Squaliformes	Dalatiidae	Squaliolus	Squaliolus gasconensis	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Squaliolus	Squaliolus laticaudus	Extant	28	Yes	Photophore	D	Silva et al. (1998)	Ebert et al. (2021a); Das et al. (2022)	Seigel (1978)
Squaliformes	Dalatiidae	Squaliolus	Squaliolus schaubi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus acanthias	Extant	200	No	NA	S	Ebert et al. (2021a)	Stehlik (2007)	NA
Squaliformes	Squalidae	Squalus	Squalus acutipinnis	Extant	77	No	NA	S	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus albicaudus	Extant	61	No	NA	D	Viana et al. (2016)	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus albifrons	Extant	84	No	NA	D	Last et al. (2007d)	Last et al. (2007d)	NA
Squaliformes	Squalidae	Squalus	Squalus almeidae	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus altipinnis	Extant	59	No	NA	D	Last et al. (2007d)	Last et al. (2007d)	NA
Squaliformes	Squalidae	Squalus	Squalus argentinensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus bahiensis	Extant	69	No	NA	D	Viana et al. (2016)	Viana et al. (2016)	NA
Squaliformes	Squalidae	Squalus	Squalus ballingsloevensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
